"raw_text","aspectTerms"
"However, I think this place is a good hang out spot.","[{'term': 'spot', 'polarity': 'positive'}]"
"However, I was there for a work dinner not long ago when my colleague from London noticed a very large waterbug on the ceiling.","[{'term': 'ceiling', 'polarity': 'negative'}, {'term': 'dinner', 'polarity': 'neutral'}]"
"However, go for the ambience, and consider the food just a companion for a trip across the world!","[{'term': 'ambience', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'negative'}]"
"However, if you want great food at a great price and don't mind the decor, you can't beat this place.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'price', 'polarity': 'positive'}, {'term': 'decor', 'polarity': 'negative'}]"
"However, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup.","[{'term': 'management', 'polarity': 'neutral'}, {'term': 'door', 'polarity': 'positive'}, {'term': 'glass front', 'polarity': 'negative'}]"
"However, looking at the table next to ours, we both sort of wished we had ordered pizza, which looked PERRRRRRRRRFECT.","[{'term': 'pizza', 'polarity': 'positive'}]"
"However, service was as plain as sesame crusted Salmon I had.","[{'term': 'service', 'polarity': 'neutral'}, {'term': 'sesame crusted Salmon', 'polarity': 'neutral'}]"
"However, their popularity has yet to slow down, and I still find myself drawn to their ambiance and delectable reputation.","[{'term': 'ambiance', 'polarity': 'positive'}]"
"However, they've got the most amazing pastrami and the soups hit the spot.","[{'term': 'pastrami', 'polarity': 'positive'}, {'term': 'soups', 'polarity': 'positive'}]"
"I LOVE their Thai noodles with shrimp and chicken and coconut juice is the MUST!","[{'term': 'Thai noodles with shrimp and chicken and coconut juice', 'polarity': 'positive'}]"
"I LOVE their spicy scallop roll, and my boyfriend consistently gets the sesame chicken.","[{'term': 'scallop roll', 'polarity': 'positive'}, {'term': 'sesame chicken', 'polarity': 'positive'}]"
"I LOVED THE SHOWS.","[{'term': 'SHOWS', 'polarity': 'positive'}]"
"I REALLY ENJOYED THE SHOWS PUT ON BY THE ACTORS.","[{'term': 'SHOWS', 'polarity': 'positive'}, {'term': 'ACTORS', 'polarity': 'positive'}]"
"I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.","[{'term': 'atmosphere', 'polarity': 'positive'}]"
"I almost wanted to write a bad review, so no one would ever go here and I could have all the dumplings to myself!","[{'term': 'dumplings', 'polarity': 'positive'}]"
"I also ordered for delivery and the restaurant forgot half the order.","[{'term': 'delivery', 'polarity': 'negative'}, {'term': 'order', 'polarity': 'negative'}]"
"I also ordered the Change Mojito, which was out of this world.","[{'term': 'Change Mojito', 'polarity': 'positive'}]"
"I also recommend the rice dishes or the different varieties of congee (rice porridge).","[{'term': 'rice dishes', 'polarity': 'positive'}, {'term': 'congee (rice porridge)', 'polarity': 'positive'}]"
"I always get the Shabu-Shabu dinner and the beef is always fresh.","[{'term': 'Shabu-Shabu dinner', 'polarity': 'neutral'}, {'term': 'beef', 'polarity': 'positive'}]"
"I am a 100 lb girl, had a glass of wine and a glass of beer prior to the dinner, and I was still HUNGRY after my visit to this place!","[{'term': 'glass of wine', 'polarity': 'neutral'}, {'term': 'glass of beer', 'polarity': 'neutral'}, {'term': 'dinner', 'polarity': 'neutral'}]"
"I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices, great atmosphere, good service and a wonderful wine list.","[{'term': 'prices', 'polarity': 'positive'}, {'term': 'atmosphere', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'wine list', 'polarity': 'positive'}]"
"I am happy i did the food was awsome.","[{'term': 'food', 'polarity': 'positive'}]"
"I am not a vegetarian but, almost all the dishes were great.","[{'term': 'dishes', 'polarity': 'positive'}]"
"I am not sure if I would call the food here Indian as it is a fusion of what seems to be French with an Indian or exotic touch.","[{'term': 'food', 'polarity': 'neutral'}]"
"I am not the most experienced person when it comes to Thai food, but my friend who took me there is.","[{'term': 'Thai food', 'polarity': 'neutral'}]"
"I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side.","[{'term': 'service', 'polarity': 'negative'}, {'term': 'food', 'polarity': 'negative'}]"
"I am reluctant to write because I would not want my jem of a pizza place to become overcrowded.","[{'term': 'pizza', 'polarity': 'positive'}]"
"I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!","[{'term': 'manager', 'polarity': 'negative'}, {'term': 'open faced cheese sandwich', 'polarity': 'neutral'}]"
"I asked for seltzer with lime, no ice.","[{'term': 'seltzer with lime', 'polarity': 'neutral'}]"
"I ate clams oreganta and spectacular salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil.","[{'term': 'clams oreganta', 'polarity': 'positive'}, {'term': 'salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil', 'polarity': 'positive'}]"
"I ate here a week ago and found most dishes average at best and too expensive.","[{'term': 'dishes', 'polarity': 'negative'}]"
"I can't believe people complain about no cheese sticks?","[{'term': 'cheese sticks', 'polarity': 'neutral'}]"
"I can't wait for summer, when they serve outside on their gigantic patio.","[{'term': 'patio', 'polarity': 'positive'}]"
"I cannot imagine a friendlier staff working in a restaurant.","[{'term': 'staff', 'polarity': 'positive'}]"
"I cannot imagine better Indian food in all of the city.","[{'term': 'Indian food', 'polarity': 'positive'}]"
"I care more about the food and ambience.","[{'term': 'food', 'polarity': 'neutral'}, {'term': 'ambience', 'polarity': 'neutral'}]"
"I choose to go with one of the special, the braised lamb shank in red wine, which was excellent.","[{'term': 'braised lamb shank in red wine', 'polarity': 'positive'}, {'term': 'special', 'polarity': 'positive'}]"
"I come from a family of pizzeria owners, and I'm almost ashamed to say that the pizza in Fornino's blows my families receipies away.","[{'term': 'pizza', 'polarity': 'positive'}]"
"I complete the total bagel experience by having it lightly toasted.","[{'term': 'bagel', 'polarity': 'positive'}]"
"I could have drank 4 glasses of water and still been parched - so watch out.","[{'term': 'glasses of water', 'polarity': 'neutral'}]"
"I couldn't reccommend their Godmother pizza any higher.","[{'term': 'Godmother pizza', 'polarity': 'positive'}]"
"I didn't complain, I liked the atmosphere so much.","[{'term': 'atmosphere', 'polarity': 'positive'}]"
"I didn't expect to like Nosh as much as I did, but the pastrami on challah sandwich I had was otherworldly, the soups are like Mom's, and the knishes give Yonah Schimmel's a run for its money.","[{'term': 'pastrami on challah sandwich', 'polarity': 'positive'}, {'term': 'soups', 'polarity': 'positive'}, {'term': 'knishes', 'polarity': 'positive'}]"
"I didn't take a look at the rest menu, but the oysters were fantastic.","[{'term': 'menu', 'polarity': 'neutral'}, {'term': 'oysters', 'polarity': 'positive'}]"
"I do not recommend lunch specials just because it tasts the same with other regular chinese restaurant.","[{'term': 'lunch specials', 'polarity': 'negative'}]"
"I do suggest to ask to be seated upstairs if you are looking to be a little cozy.","[{'term': 'upstairs', 'polarity': 'positive'}]"
"I don't know about you guys, but when I go somewhere to eat I go for the food not for the atmosphere.","[{'term': 'food', 'polarity': 'neutral'}, {'term': 'atmosphere', 'polarity': 'neutral'}]"
"I don't know who they think they are but they have no respect for the residents of the neighborhood ever since they opened their cabaret next door and blasts loud music till three in the morning every weekend during the summer.","[{'term': 'music', 'polarity': 'negative'}]"
"I don't like Indian food too much and this was delicious, however you want to factor that into the equation.","[{'term': 'Indian food', 'polarity': 'positive'}]"
"I fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork.","[{'term': 'egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork', 'polarity': 'positive'}]"
"I found it on a cold night, the perfect spot to warm up.","[{'term': 'spot', 'polarity': 'positive'}]"
"I found the food to be outstanding, particulary the salmon dish I had.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'salmon dish', 'polarity': 'positive'}]"
"I found the food, service and value exceptional everytime I have been there.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'value', 'polarity': 'positive'}]"
"I found the variety of the sashimi plate to be satisfying - fresh and yummy.","[{'term': 'sashimi plate', 'polarity': 'positive'}]"
"I go back in line like three times on average until I can't walk anymore.","[{'term': 'line', 'polarity': 'negative'}]"
"I got an excellent piece of cheesecake and we had several other nice pastries.","[{'term': 'cheesecake', 'polarity': 'positive'}, {'term': 'pastries', 'polarity': 'positive'}]"
"I got the $10 10-piece dim sum combo, every bite of which was great.","[{'term': 'dim sum combo', 'polarity': 'positive'}]"
"I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.","[{'term': 'Dosa', 'polarity': 'neutral'}]"
"I grew up on these bagels.","[{'term': 'bagels', 'polarity': 'positive'}]"
"I had Filet Mignon with garlic mash.","[{'term': 'Filet Mignon with garlic mash', 'polarity': 'neutral'}]"
"I had Lobster Bisque it has 2 oz. of Maine Lobster in it.","[{'term': 'Lobster Bisque', 'polarity': 'positive'}, {'term': 'Maine Lobster', 'polarity': 'positive'}]"
"I had a huge pastrami sandwich on a roll.","[{'term': 'pastrami sandwich', 'polarity': 'positive'}]"
"I had a late dinner at Lucky Stike, a great name for a joint if ever I saw one.","[{'term': 'dinner', 'polarity': 'neutral'}]"
"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.","[{'term': 'meal', 'polarity': 'positive'}, {'term': 'server', 'polarity': 'positive'}, {'term': 'wine', 'polarity': 'positive'}, {'term': 'wine', 'polarity': 'negative'}, {'term': 'price rang', 'polarity': 'positive'}, {'term': 'priced', 'polarity': 'neutral'}]"
"I had been a regular due to the consistently good food and ease of getting a table.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'getting a table', 'polarity': 'positive'}]"
"I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).","[{'term': 'Edamame pureed', 'polarity': 'positive'}]"
"I had the Pad Thai and the noodles were sticky.","[{'term': 'Pad Thai', 'polarity': 'negative'}, {'term': 'noodles', 'polarity': 'negative'}]"
"I had the best ravioli ever.","[{'term': 'ravioli', 'polarity': 'positive'}]"
"I had the black cod with yuzu sauce, which was wonderful.","[{'term': 'black cod with yuzu sauce', 'polarity': 'positive'}]"
"I had the cod with paella (spicy and very filling, I'm a big eater and could only eat half) while my boyfriend had the classic fish and chips (again, a big serving - at least 5 pieces of fish and a basketful of fries).","[{'term': 'cod with paella', 'polarity': 'negative'}, {'term': 'fish and chips', 'polarity': 'negative'}, {'term': 'serving', 'polarity': 'negative'}, {'term': 'fish', 'polarity': 'neutral'}, {'term': 'fries', 'polarity': 'neutral'}]"
"I had the duck breast special on my last visit and it was incredible.","[{'term': 'duck breast special', 'polarity': 'positive'}]"
"I had the mango chicken and i can't go on to tell you how delicious that was and the presentation was beatiful.","[{'term': 'mango chicken', 'polarity': 'positive'}, {'term': 'presentation', 'polarity': 'positive'}]"
"I had the salmon dish and while it was fine, for the price paid, I expected it to have some type of flavor.","[{'term': 'salmon dish', 'polarity': 'conflict'}, {'term': 'flavor', 'polarity': 'negative'}, {'term': 'price', 'polarity': 'neutral'}]"
"I had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49.","[{'term': 'tuna tartare', 'polarity': 'positive'}, {'term': 'sake', 'polarity': 'positive'}, {'term': 'mushroom ravioli', 'polarity': 'positive'}, {'term': 'pinot noir', 'polarity': 'positive'}, {'term': 'chocolate sampler', 'polarity': 'positive'}, {'term': 'dessert wine', 'polarity': 'positive'}]"
"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.","[{'term': 'eggs benedict', 'polarity': 'negative'}, {'term': 'hollondaise sauce', 'polarity': 'negative'}, {'term': 'brunch', 'polarity': 'neutral'}]"
"I had to ask her three times before she finally came back with the dish Ive requested.","[{'term': 'dish', 'polarity': 'neutral'}]"
"I had to share my table with a loud group of kids and the service was rude an unattentive.","[{'term': 'service', 'polarity': 'negative'}, {'term': 'table', 'polarity': 'negative'}]"
"I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.","[{'term': 'reservation', 'polarity': 'neutral'}]"
"I have been a longtime fan of Holy Basil in the East Village, and while I do believe their food has slightly slipped in quality, I have been hesitant to be disloyal.","[{'term': 'food', 'polarity': 'negative'}, {'term': 'quality', 'polarity': 'negative'}]"
"I have been about 4 times and have always had a great meal.","[{'term': 'meal', 'polarity': 'positive'}]"
"I have been coming here for years and have nothing but good things to say about the service and the great staff at La Lanterna.","[{'term': 'service', 'polarity': 'positive'}, {'term': 'staff', 'polarity': 'positive'}]"
"I have been here a few times for dinner, once for brunch and twice for lunch.","[{'term': 'dinner', 'polarity': 'neutral'}, {'term': 'brunch', 'polarity': 'neutral'}, {'term': 'lunch', 'polarity': 'neutral'}]"
"I have been there many times, and food is good and consistent.","[{'term': 'food', 'polarity': 'positive'}]"
"I have been to spice three times- twice during lunch and once at dinner.","[{'term': 'lunch', 'polarity': 'neutral'}, {'term': 'dinner', 'polarity': 'neutral'}]"
"I have eaten a lot of pizza here.","[{'term': 'pizza', 'polarity': 'neutral'}]"
"I have eaten at Saul, many times, the food is always consistently, outrageously good.","[{'term': 'food', 'polarity': 'positive'}]"
"I have eaten there 3-4 times and the food was always good.","[{'term': 'food', 'polarity': 'positive'}]"
"I have enjoyed everything I have ever gotten and the fish is so fresh and always prepared in a great way.","[{'term': 'fish', 'polarity': 'positive'}]"
"I have had so many dinners here and it's always been perfect - on a date with my husband, with my mom, with girlfriends and larger groups.","[{'term': 'dinners', 'polarity': 'positive'}]"
"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'wine', 'polarity': 'positive'}, {'term': 'prices', 'polarity': 'positive'}]"
"I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'feel', 'polarity': 'positive'}, {'term': 'taste', 'polarity': 'positive'}]"
"I have never been disappointed but their true strength lays in their amazingly delicious and cheap lunch specials.","[{'term': 'lunch specials', 'polarity': 'positive'}]"
"I have never before eaten 40 pieces of relatively good nigiri.","[{'term': 'nigiri', 'polarity': 'neutral'}]"
"I have never better enjoyed humble root vegetables or a mushroom consomme - and this chef accomplishes without fats.","[{'term': 'root vegetables', 'polarity': 'positive'}, {'term': 'mushroom consomme', 'polarity': 'positive'}, {'term': 'chef', 'polarity': 'positive'}]"
"I have never had cheescake like this.","[{'term': 'cheescake', 'polarity': 'positive'}]"
"I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.","[{'term': 'choices', 'polarity': 'negative'}, {'term': 'reservations', 'polarity': 'neutral'}, {'term': 'food', 'polarity': 'neutral'}, {'term': 'menu', 'polarity': 'neutral'}]"
"I have to say I have never had a disapointing meal here.","[{'term': 'meal', 'polarity': 'positive'}]"
"I have to say that if this what makes it easier to get a saet a lunch- I dont mind.","[{'term': 'lunch', 'polarity': 'neutral'}]"
"I have tried to make reservations, but both times, the hostess didn't have my name.","[{'term': 'reservations', 'polarity': 'neutral'}, {'term': 'hostess', 'polarity': 'negative'}]"
"I haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil.","[{'term': 'lamb chop', 'polarity': 'positive'}, {'term': 'salads', 'polarity': 'positive'}, {'term': 'lemon', 'polarity': 'positive'}, {'term': 'extra virgnin olive oil', 'polarity': 'positive'}]"
"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'ambience', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]"
"I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service.","[{'term': 'caviar', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]"
"I highly recommend visiting this restaurant and having dinner and drinks!","[{'term': 'dinner', 'polarity': 'positive'}, {'term': 'drinks', 'polarity': 'positive'}]"
"I just wonder how you can have such a delicious meal for such little money.","[{'term': 'meal', 'polarity': 'positive'}, {'term': 'money', 'polarity': 'positive'}]"
"I keep my fingers crossed the whole subway ride hoping that there will be a table I can sit at by myself and not have to share with the rice congee soup people.","[{'term': 'table', 'polarity': 'neutral'}, {'term': 'rice congee soup', 'polarity': 'neutral'}]"
"I like Cafe Noir dont get me wrong, it is jsut that the people who work there are evil and incompetent!!","[{'term': 'people', 'polarity': 'negative'}]"
"I like Mamoun's food as well, but side by side, Kati Rolls just produce tastier food hands down.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}]"
"I like the ambience, it's very dark and original.","[{'term': 'ambience', 'polarity': 'positive'}]"
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.","[{'term': 'somosas', 'polarity': 'positive'}, {'term': 'chai', 'polarity': 'positive'}, {'term': 'chole', 'polarity': 'positive'}, {'term': 'dhosas', 'polarity': 'negative'}, {'term': 'dhal', 'polarity': 'negative'}]"
"I liked the beer selection!","[{'term': 'beer selection', 'polarity': 'positive'}]"
"I liked the food at this quasi-thai restaurant.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'quasi-thai', 'polarity': 'positive'}]"
"I live in the neighborhood and my friends meet me down here not only for the bar scene but also the promise of The Pizza Place at 3am.","[{'term': 'bar scene', 'polarity': 'positive'}]"
"I look forward to eating here again","[{'term': 'eating', 'polarity': 'positive'}]"
"I love Indian food and consider myself to be quite an expert on it.","[{'term': 'Indian food', 'polarity': 'positive'}]"
"I love and I know gourmet food by excellence!","[{'term': 'gourmet food', 'polarity': 'positive'}]"
"I love the atmorphere @ peep!","[{'term': 'atmorphere', 'polarity': 'positive'}]"
"I love the fact that the pizza tastes so good and is so cheap.","[{'term': 'pizza', 'polarity': 'positive'}]"
"I love to visit Murrays for my bagel fix.","[{'term': 'bagel', 'polarity': 'positive'}]"
"I love when restaurants think using fancy expensive ingrediants makes the food fine cuisine, even with no idea how to use them.","[{'term': 'ingrediants', 'polarity': 'positive'}, {'term': 'cuisine', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}]"
"I loved everythig about it-especially the shows and actors.","[{'term': 'shows', 'polarity': 'positive'}, {'term': 'actors', 'polarity': 'positive'}]"
"I must say it's a little pricey for the food because it was not as spectacular as the view.","[{'term': 'food', 'polarity': 'negative'}]"
"I must say the view of NYC is so beautiful!","[{'term': 'view', 'polarity': 'positive'}]"
"I must warn the reader that the portions sizes are very small (especially the appetizers), so if you plan to eat until you are full and do not intend to order the chef's special tasting menu, prepare to order and pay for an appetizer (1 dish for each person because the portions are not for sharing), a main entree, and the cold udon at the end of the meal.","[{'term': 'portions', 'polarity': 'negative'}, {'term': 'appetizers', 'polarity': 'negative'}, {'term': 'appetizer', 'polarity': 'negative'}, {'term': 'main entree', 'polarity': 'neutral'}, {'term': 'cold udon', 'polarity': 'neutral'}, {'term': 'chef', 'polarity': 'positive'}, {'term': 'menu', 'polarity': 'positive'}, {'term': 'dish', 'polarity': 'negative'}, {'term': 'portions', 'polarity': 'negative'}]"
"I need at least three rolls to be full, and that's at least $14.00!","[{'term': 'rolls', 'polarity': 'neutral'}]"
"I noted it was crossed off on the bill.","[{'term': 'bill', 'polarity': 'neutral'}]"
"I only tried a simple dish of spinach ravioli in a light oil and garlic sauce, but it actually faired better than most NYC Italian joints I've tried similar dishes at.","[{'term': 'spinach ravioli in a light oil and garlic sauce', 'polarity': 'positive'}, {'term': 'dish', 'polarity': 'positive'}, {'term': 'dishes', 'polarity': 'neutral'}]"
"I ordered a Chicken Teriyaki dish and found that the chicken was extremely dry.","[{'term': 'Chicken Teriyaki dish', 'polarity': 'negative'}, {'term': 'chicken', 'polarity': 'negative'}]"
"I ordered a Lassi and asked 4 times for it but never got it.","[{'term': 'Lassi', 'polarity': 'neutral'}]"
"I ordered tamarind duck and my wife ordered noodles with ground beef, and we were both delighted by the way the dishes evoked Thai flavors in unexpected ways.","[{'term': 'tamarind duck', 'polarity': 'positive'}, {'term': 'noodles with ground beef', 'polarity': 'positive'}, {'term': 'dishes', 'polarity': 'positive'}, {'term': 'Thai flavors', 'polarity': 'positive'}]"
"I ordered the chu chu curry and my friend ordered the pad thai chicken.","[{'term': 'chu chu curry', 'polarity': 'neutral'}, {'term': 'pad thai chicken', 'polarity': 'neutral'}]"
"I ordered the crab cocktail and it was soaked in a lime juice concoction where all you could taste was the lime.","[{'term': 'crab cocktail', 'polarity': 'negative'}, {'term': 'lime juice concoction', 'polarity': 'neutral'}, {'term': 'lime', 'polarity': 'neutral'}]"
"I ordered the smoked salmon and roe appetizer and it was off flavor.","[{'term': 'smoked salmon and roe appetizer', 'polarity': 'negative'}]"
"I particularly love their yellowfun tuna and their mussel selection.","[{'term': 'yellowfun tuna', 'polarity': 'positive'}, {'term': 'mussel selection', 'polarity': 'positive'}]"
"I plan to come here again and look forward to trying their assortment of bruschetta, panini's.....","[{'term': 'bruschetta', 'polarity': 'positive'}, {'term': 'panini', 'polarity': 'positive'}]"
"I really like both the scallops and the mahi mahi (on saffron risotto-yum!).","[{'term': 'scallops', 'polarity': 'positive'}, {'term': 'mahi mahi (on saffron risotto', 'polarity': 'positive'}]"
"I really liked the noodle dishes at Rice Avenue compared to their Green Curry dish.","[{'term': 'noodle dishes', 'polarity': 'positive'}, {'term': 'Green Curry dish', 'polarity': 'negative'}]"
"I really loved the different and inovated touch that's the cheff gives to the food.","[{'term': 'cheff', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}]"
"I really recommend the very simple Unda (Egg) rolls.","[{'term': 'Unda (Egg) rolls', 'polarity': 'positive'}]"
"I recently went to this restaurant with some co-workers for lunch and had an amazing time.","[{'term': 'lunch', 'polarity': 'neutral'}]"
"I recieved prompt service with a smile.","[{'term': 'service', 'polarity': 'positive'}]"
"I recommend getting a reservation even though we saw people seated without one.","[{'term': 'reservation', 'polarity': 'neutral'}]"
"I recommend the garlic shrimp, okra (bindi), and anything with lamb.","[{'term': 'garlic shrimp', 'polarity': 'positive'}, {'term': 'lamb', 'polarity': 'positive'}, {'term': 'okra (bindi)', 'polarity': 'positive'}]"
"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.","[{'term': 'jelly fish', 'polarity': 'positive'}, {'term': 'drunken chicken', 'polarity': 'positive'}, {'term': 'soupy dumplings', 'polarity': 'positive'}, {'term': 'stir fry blue crab', 'polarity': 'positive'}]"
"I recommend the meatballs and caprese salad and the beans on toast were a wonderful start to the meal!","[{'term': 'meatballs', 'polarity': 'positive'}, {'term': 'caprese salad', 'polarity': 'positive'}, {'term': 'beans on toast', 'polarity': 'positive'}, {'term': 'meal', 'polarity': 'neutral'}]"
"I recommend their Pad See Ew, Pork Chops or Tofu plates.","[{'term': 'Pad See Ew', 'polarity': 'positive'}, {'term': 'Pork Chops', 'polarity': 'positive'}, {'term': 'Tofu plates', 'polarity': 'positive'}]"
"I recommend this place to everyone who asks me where to go for a good meal.","[{'term': 'meal', 'polarity': 'positive'}]"
"I recommend this spot to anyone who enjoys  fine cuisine at reasonable prices.","[{'term': 'cuisine', 'polarity': 'positive'}, {'term': 'prices', 'polarity': 'positive'}]"
"I started out with a Bombay beer which was big enough for two.","[{'term': 'Bombay beer', 'polarity': 'positive'}]"
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.","[{'term': 'sushi', 'polarity': 'neutral'}, {'term': 'sushi bar', 'polarity': 'neutral'}]"
"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.","[{'term': 'sea urchin', 'polarity': 'positive'}]"
"I think I've had some the best meals of my life at minnow.","[{'term': 'meals', 'polarity': 'positive'}]"
"I think the stuff was better than Disney.","[{'term': 'stuff', 'polarity': 'positive'}]"
"I took my girlfriend there for her birthday last night and we had a relaxing, really good meal.","[{'term': 'meal', 'polarity': 'positive'}]"
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.","[{'term': 'ambiance', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'foods', 'polarity': 'positive'}, {'term': 'tastes', 'polarity': 'positive'}, {'term': 'sommlier', 'polarity': 'positive'}, {'term': 'captain', 'polarity': 'positive'}, {'term': 'back waiters', 'polarity': 'positive'}]"
"I usually go there later at night when I get off work so I don't have to deal with crowds or lines.","[{'term': 'lines', 'polarity': 'negative'}, {'term': 'crowds', 'polarity': 'negative'}]"
"I was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again.","[{'term': 'diner', 'polarity': 'neutral'}, {'term': 'wait staff', 'polarity': 'negative'}, {'term': 'table', 'polarity': 'negative'}]"
"I was here a few weeks back and we had the worst customer service experience at a restaurant ever.","[{'term': 'customer service', 'polarity': 'negative'}]"
"I was in love with Pongsri on 48th, but compared to Suan it is slow in service and overpriced.","[{'term': 'service', 'polarity': 'negative'}]"
"I was pretty much full after our fondue appetizer.","[{'term': 'fondue appetizer', 'polarity': 'neutral'}]"
"I was really disappointed ant wanted to tell everyone not to go eat or even take out food from there.","[{'term': 'food', 'polarity': 'negative'}]"
"I was very impressed by this low-key upper eastsider and their authentically thai cuisine!!!","[{'term': 'thai cuisine', 'polarity': 'positive'}]"
"I was with a party of 7 (close but not next the the front doors) and we were eating with our coats on.","[{'term': 'front doors', 'polarity': 'neutral'}]"
"I wasn't there for the Half-Price Saturday Night Special, but Tuesday Night.","[{'term': 'Half-Price Saturday Night Special', 'polarity': 'neutral'}]"
"I wasn't thrilled to have to wait on line for thirty minutes, but I guess that's the price you pay for a popular place.","[{'term': 'wait', 'polarity': 'negative'}]"
"I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous.","[{'term': 'pre-theater menu', 'polarity': 'positive'}, {'term': 'roasted tomato soup with chevre', 'polarity': 'positive'}, {'term': 'steak frites', 'polarity': 'positive'}, {'term': 'creme brulee', 'polarity': 'positive'}]"
"I went here with a friend on a whim, we went someplace else first and couldn't get a table.","[{'term': 'table', 'polarity': 'negative'}]"
"I went there for lunch and it was not as good as I expected from the reviews I read.","[{'term': 'lunch', 'polarity': 'neutral'}]"
"I went there in late afternoon for some bite size food and refleshment with my date.","[{'term': 'food', 'polarity': 'neutral'}, {'term': 'refleshment', 'polarity': 'neutral'}]"
"I went to DF for Valentines Day dinner.","[{'term': 'Valentines Day dinner', 'polarity': 'neutral'}]"
"I went to Del Frisco's Friday night with my boyfriend for an 8:00 reservation.","[{'term': 'reservation', 'polarity': 'neutral'}]"
"I went with 5 friends and we lingered at the table for a bit and didn't feel rushed at all even though there was a wait.","[{'term': 'table', 'polarity': 'neutral'}, {'term': 'wait', 'polarity': 'negative'}]"
"I will recommend Scopa to all of my friends for a place to go for wonderful Italian food.","[{'term': 'Italian food', 'polarity': 'positive'}]"
"I won't go back unless someone else is footing the bill.","[{'term': 'bill', 'polarity': 'negative'}]"
"I work near-by, and they have the BEST oatmeal in the neighborhood- not a packaged or quick-cooked item.","[{'term': 'oatmeal', 'polarity': 'positive'}]"
"I would definitely go back -- if only for some of those exotic martinis on the blackboard.","[{'term': 'martinis', 'polarity': 'positive'}]"
"I would definitely go back for a very special occasion, but not for regular fine dining.","[{'term': 'dining', 'polarity': 'neutral'}]"
"I would definitely recommend SEA if you like thai cuisine!","[{'term': 'thai cuisine', 'polarity': 'positive'}]"
"I would have gotten some cole slaw and a knish if my stomach had more space.","[{'term': 'cole slaw', 'polarity': 'neutral'}, {'term': 'knish', 'polarity': 'neutral'}]"
"I would highly recommand requesting a table by the window.","[{'term': 'table by the window', 'polarity': 'positive'}]"
